show_id|titre|description|langue|popularite|note|type|directeurs|acteurs|pays|date_ajout|annee_sortie|classement|duree|categories
s25|​SAINT SEIYA: Knights of the Zodiac|Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.|ja|67.961|7.3|TV Show||Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi|Japan|January 23, 2020|2020|TV-14|2 Seasons|Anime Series, International TV Shows
s26|(T)ERROR|This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.|en|1.558|6.5|Movie|Lyric R. Cabral, David Felix Sutcliffe||United States|June 30, 2016|2015|NR|84 min|Documentaries
s27|(Un)Well|This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?|en|2.984|6.8|TV Show|||United States|August 12, 2020|2020|TV-MA|1 Season|Reality TV
s28|#Alive|As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.|en|8.589|6.4|Movie|Cho Il|Yoo Ah-in, Park Shin-hye|South Korea|September 8, 2020|2020|TV-MA|99 min|Horror Movies, International Movies, Thrillers
s29|#AnneFrank - Parallel Stories|Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.|en|13.622|7.1|Movie|Sabina Fedeli, Anna Migotto|Helen Mirren, Gengher Gatti|Italy|July 1, 2020|2019|TV-14|95 min|Documentaries, International Movies
s30|#blackAF|Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.|en|2.183|7.4|TV Show||Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers|United States|April 17, 2020|2020|TV-MA|1 Season|TV Comedies
s31|#cats_the_mewvie|This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.|en|3.15|5.9|Movie|Michael Margolis||Canada|February 5, 2020|2020|TV-14|90 min|Documentaries, International Movies
s32|#FriendButMarried|Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.|id|1.978|6.8|Movie|Rako Prijanto|Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila|Indonesia|May 21, 2020|2018|TV-G|102 min|Dramas, International Movies, Romantic Movies
s33|#FriendButMarried 2|As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.|id|0.94|7.5|Movie|Rako Prijanto|Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata|Indonesia|June 28, 2020|2020|TV-G|104 min|Dramas, International Movies, Romantic Movies
s34|#realityhigh|When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.|en|16.719|6.4|Movie|Fernando Lebrija|Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis|United States|September 8, 2017|2017|TV-14|99 min|Comedies
s35|#Roxy|A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.|en|0.6|4.6|Movie|Michael Kennedy|Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke|Canada|April 10, 2019|2018|TV-14|105 min|Comedies, Romantic Movies
s36|#Rucker50|This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.|en|0.69|3.7|Movie|Robert McCullough Jr.||United States|December 1, 2016|2016|TV-PG|56 min|Documentaries, Sports Movies
s37|#Selfie|Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.|en|1.591|6.4|Movie|Cristina Jacob|Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu|Romania|June 1, 2019|2014|TV-MA|125 min|Comedies, Dramas, International Movies
s38|#Selfie 69|After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.|ro|3.786|6.8|Movie|Cristina Jacob|Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut|Romania|June 1, 2019|2016|TV-MA|119 min|Comedies, Dramas, International Movies
s40|¡Ay, mi madre!|When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.|es|1.873|4.5|Movie|Frank Ariza|Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán|Spain|July 19, 2019|2019|TV-MA|81 min|Comedies, International Movies
s41|Çarsi Pazar|The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.|tr|1.83|5.3|Movie|Muharrem Gülmez|Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman|Turkey|March 10, 2017|2015|TV-14|97 min|Comedies, International Movies
s42|Ég man þig|Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.|is|5.716|6.1|Movie|Óskar Thór Axelsson|Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson|Iceland|March 27, 2018|2017|TV-MA|106 min|Horror Movies, International Movies
s43|Çok Filim Hareketler Bunlar|Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.|tr|2.142|4.3|Movie|Ozan Açıktan|Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci|Turkey|March 10, 2017|2010|TV-MA|99 min|Comedies, International Movies
s44|Òlòtūré|In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.|fr|1.805|5.9|Movie|Kenneth Gyang|Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua|Nigeria|October 2, 2020|2020|TV-MA|107 min|Dramas, International Movies
s45|Æon Flux|Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.|en|10.685|5.6|Movie|Karyn Kusama|Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen|United States|February 1, 2018|2005|PG-13|93 min|Action & Adventure, Sci-Fi & Fantasy
s46|Şubat|An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.|tr|1.168|8.0|TV Show||Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas|Turkey|January 17, 2017|2013|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
s47|1 Chance 2 Dance|When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.|en|2.284|6.2|Movie|Adam Deyoe|Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride|United States|July 1, 2017|2014|TV-PG|89 min|Dramas, Romantic Movies
s48|1 Mile to You|After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.|en|8.065|6.6|Movie|Leif Tilden|Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote|United States|July 7, 2017|2017|TV-14|105 min|Dramas, Romantic Movies, Sports Movies
s49|10 Days in Sun City|After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.|en|0.6|0.0|Movie|Adze Ugah|Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.|South Africa, Nigeria|October 18, 2019|2017|TV-14|87 min|Comedies, International Movies, Romantic Movies
s50|10 jours en or|When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.|fr|4.73|5.2|Movie|Nicolas Brossette|Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie|France|July 1, 2017|2012|TV-14|97 min|Comedies, Dramas, International Movies
s52|100 Days My Prince|Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.|ko|23.098|8.1|TV Show||Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee|South Korea|December 7, 2020|2018|TV-14|1 Season|International TV Shows, Romantic TV Shows, TV Dramas
s53|100 Days Of Solitude|Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.|es|2.365|6.1|Movie|||Spain|July 6, 2018|2018|TV-MA|93 min|Documentaries, International Movies
s54|100 Humans|One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.|en|2.223|6.8|TV Show||Zainab Johnson, Sammy Obeid, Alie Ward|United States|March 13, 2020|2020|TV-14|1 Season|Docuseries, Science & Nature TV
s55|100 Meters|A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.|es|8.184|7.5|Movie|Marcel Barrena|Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer|Portugal, Spain|March 10, 2017|2016|TV-MA|109 min|Dramas, International Movies, Sports Movies
s58|100% Halal|After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.|id|0.6|0.0|Movie|Jastis Arimba|Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih|Indonesia|January 7, 2021|2020|TV-14|101 min|Dramas, International Movies
s59|100% Hotter|A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.|en|0.73|4.0|TV Show||Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward|United Kingdom|November 1, 2019|2017|TV-14|1 Season|British TV Shows, International TV Shows, Reality TV
s61|12 ROUND GUN|Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.|en|0.6|7.3|Movie|Sam Upton|Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone|United States|March 14, 2019|2017|TV-MA|90 min|Dramas, Independent Movies, Sports Movies
s62|12 Years Promise|A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.|ko|2.209|6.4|TV Show||So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu|South Korea|May 22, 2017|2014|TV-14|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
s63|13 Cameras|Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.|en|6.298|5.1|Movie|Victor Zarcoff|PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault|United States|August 13, 2016|2015|NR|90 min|Horror Movies, Independent Movies, Thrillers
s64|13 Reasons Why|After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.|en|74.817|7.8|TV Show||Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves|United States|June 5, 2020|2020|TV-MA|4 Seasons|Crime TV Shows, TV Dramas, TV Mysteries
s65|13 Reasons Why: Beyond the Reasons|"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""|en|7.336|6.4|TV Show||Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms|United States|August 23, 2019|2019|TV-MA|3 Seasons|Crime TV Shows, Docuseries
s66|13 Sins|A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.|en|14.514|6.2|Movie|Daniel Stamm|Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince|United States|January 13, 2019|2014|R|93 min|Horror Movies, Thrillers
s67|13TH|In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.|en|9.864|8.1|Movie|Ava DuVernay||United States|October 7, 2016|2016|TV-MA|101 min|Documentaries
s68|13TH: A Conversation with Oprah Winfrey & Ava DuVernay|Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.|en|1.06|6.8|Movie||Oprah Winfrey, Ava DuVernay||January 26, 2017|2017||37 min|Movies
s69|14 Blades|In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.|zh|7.911|6.3|Movie|Daniel Lee|Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu|Hong Kong, China, Singapore|April 3, 2019|2010|R|113 min|Action & Adventure, International Movies
s70|14 Cameras|Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.|en|5.594|5.2|Movie|Scott Hussion, Seth Fuller|Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief|United States|October 27, 2018|2018|TV-MA|89 min|Horror Movies, Thrillers
s71|14 Minutes from Earth|A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.|en|0.809|5.4|Movie|Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm||United States|February 1, 2019|2016|TV-MA|84 min|Documentaries
s72|16 Blocks|Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.|en|10.156|6.4|Movie|Richard Donner|Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz|United States, Germany|November 1, 2019|2006|PG-13|102 min|Action & Adventure
s73|17 Again|"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."|en|18.558|6.2|Movie|Burr Steers|Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller|United States|January 1, 2021|2009|PG-13|102 min|Comedies
s74|18 Presents|A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.|it|10.736|7.5|Movie|Francesco Amato|Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli|Italy|May 8, 2020|2020|TV-MA|114 min|Dramas, Independent Movies, International Movies
s75|1898: Our Last Men in the Philippines|While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.|es|7.752|6.5|Movie|Salvador Calvo|Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios|Spain|June 2, 2017|2016|R|130 min|Dramas, International Movies
s76|1BR|Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.|en|12.77|6.2|Movie|David Marmor|Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips|United States|August 23, 2020|2019|TV-MA|90 min|Horror Movies, Independent Movies, Thrillers
s78|2 Alone in Paris|A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.|fr|5.931|5.2|Movie|Ramzy Bedia, Éric Judor|Ramzy Bedia, Éric Judor, Benoît Magimel, Kristin Scott Thomas, Élodie Bouchez, Édouard Baer, Fred Testot, Omar Sy|France|June 1, 2020|2008|TV-MA|97 min|Comedies, International Movies
s79|2 States|Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.|hi|6.119|6.6|Movie|Abhishek Varman|Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma|India|August 4, 2018|2014|TV-PG|143 min|Comedies, Dramas, International Movies
s80|20 Feet From Stardom|Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.|en|6.558|7.4|Movie|Morgan Neville|Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega|United States|September 22, 2018|2013|PG-13|91 min|Documentaries, Music & Musicals
s81|20 Minutes|When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.|en|0.6|0.0|TV Show||Tuba Büyüküstün, Ilker Aksum, Bülent Emin Yarar, İpek Bilgin, Müjde Uzman, Firat Çelik, Ayten Uncuoglu, Cihat Tamer|Turkey|August 15, 2017|2013|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
s82|2015 Dream Concert|The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.|ko|0.6|0.0|Movie||4Minute, B1A4, BtoB, ELSIE, EXID, EXO, Got7, INFINITE, KARA, Shinee, Sistar, VIXX, Nine Muses, BTS, Secret, Topp Dogg|South Korea|April 28, 2017|2015|TV-PG|107 min|International Movies, Music & Musicals
